run_at,mode,outcome,snapshot,snapshot_taken_at,snapshot_bytes,feed_date,rows_total,rows_337,cases_in_file,stages_in_file,cases_added,cases_changed,status_changes,cases_left_feed,cases_withdrawn_total,cases_renumbered,cases_on_site,seconds,note
2026-09-23T14:30:17+00:00,download,ok,investigations-2026-09-23T143005Z.json.gz,2026-09-23T14:30:05+00:00,3287435,2026-09-21T22:00:01.996+00:00,4422,1680,1382,1680,0,0,0,0,0,0,1382,12.32,
2026-09-23T17:20:44+00:00,offline,ok,investigations-2026-09-23T143005Z.json.gz,2026-09-23T14:30:05+00:00,3287435,2026-09-21T22:00:01.996+00:00,4422,1680,1382,1680,0,0,0,0,0,0,1382,0.99,
2026-09-23T17:21:38+00:00,cached,ok,investigations-2026-09-23T143005Z.json.gz,2026-09-23T14:30:05+00:00,3287435,2026-09-21T22:00:01.996+00:00,4422,1680,1382,1680,0,0,0,0,0,0,1382,1.4,
2026-09-23T17:40:42+00:00,offline,ok,investigations-2026-09-23T143005Z.json.gz,2026-09-23T14:30:05+00:00,3287435,2026-09-21T22:00:01.996+00:00,4422,1680,1382,1680,0,950,0,0,0,0,1382,1.05,
2026-09-23T17:42:03+00:00,offline,ok,investigations-2026-09-23T143005Z.json.gz,2026-09-23T14:30:05+00:00,3287435,2026-09-21T22:00:01.996+00:00,4422,1680,1382,1680,0,113,0,0,0,0,1382,1.12,
2026-09-23T18:33:07+00:00,offline,ok,investigations-2026-09-23T143005Z.json.gz,2026-09-23T14:30:05+00:00,3287435,2026-09-21T22:00:01.996+00:00,4422,1680,1382,1680,0,0,0,0,0,0,1382,0.99,
2026-09-25T21:10:12+00:00,download,ok,investigations-2026-09-25T211001Z.json.gz,2026-09-25T21:10:01+00:00,3290708,2026-09-24T01:57:26.741Z,4422,1680,1382,1680,3,4,1,1,1,2,1383,11.52,
2026-09-25T22:59:38+00:00,cached,ok,investigations-2026-09-25T211001Z.json.gz,2026-09-25T21:10:01+00:00,3290708,2026-09-24T01:57:26.741Z,4422,1680,1382,1680,0,0,0,0,1,0,1383,2.7,
2026-09-25T23:02:36+00:00,cached,ok,investigations-2026-09-25T211001Z.json.gz,2026-09-25T21:10:01+00:00,3290708,2026-09-24T01:57:26.741Z,4422,1680,1382,1680,0,0,0,0,1,0,1383,2.89,
